comp  name  center_x  center_y  center_z  rin(z-in)  rin(z-out)  dout  length  angle  B  gradient
QF  QC1LPE1401  -452.783942  -5.62e-05  1.868281  0.1  0.1  0.6  0.01  -0.0493704078038439  0  12
QF  QC1LE1405  -452.78369524823  -5.62e-05  1.87327490764471  0.1  0.1  0.6  0.01  -0.0493704078038439  0  12
QF  QC1LPE1409  -452.783448  -5.73e-05  1.878269  0.1  0.1  0.6  0.01  -0.0494083338084898  0  12
QF  QC1LPE1411  -452.783448  -5.73e-05  1.878269  0.1  0.1  0.6  0.01  -0.0494083338084898  0  12
QF  QC1LE1415  -452.783201058831  -5.73e-05  1.88326289828281  0.1  0.1  0.6  0.01  -0.0494083338084898  0  12
QF  QC1LPE1419  -452.782954  -5.84e-05  1.888257  0.1  0.1  0.6  0.01  -0.0494460852802104  0  12
QF  QC1LPE1421  -452.782954  -5.84e-05  1.888257  0.1  0.1  0.6  0.01  -0.0494460852802104  0  12
QF  QC1LE1425  -452.782706870304  -5.84e-05  1.89325088895686  0.1  0.1  0.6  0.01  -0.0494460852802104  0  12
QF  QC1LPE1429  -452.78246  -5.94e-05  1.898244  0.1  0.1  0.6  0.01  -0.0494836971255909  0  12
QF  QC1LPE1431  -452.78246  -5.94e-05  1.898244  0.1  0.1  0.6  0.01  -0.0494836971255909  0  12
QF  QC1LE1435  -452.782212682475  -5.94e-05  1.90323787965832  0.1  0.1  0.6  0.01  -0.0494836971255909  0  12
QF  QC1LPE1439  -452.781965  -6.03e-05  1.908232  0.1  0.1  0.6  0.01  -0.0495211867979237  0  12
QF  QC1LE1445  -452.781717495256  -6.03e-05  1.91322587038296  0.1  0.1  0.6  0.01  -0.0495211867979237  0  12
QF  QC1LE1455  -452.781222308561  -6.1e-05  1.92321386112652  0.1  0.1  0.6  0.01  -0.0495585717505014  0  12
QF  QC1LE1465  -452.780726122302  -6.17e-05  1.93320185188473  0.1  0.1  0.6  0.01  -0.0495958694366165  0  12
QF  QC1LE1475  -452.780229936391  -6.23e-05  1.94318884265331  0.1  0.1  0.6  0.01  -0.0496330973095616  0  12
QF  QC1LE1485  -452.779733750743  -6.29e-05  1.95317683342797  0.1  0.1  0.6  0.01  -0.0496702728226291  0  12
QF  QC1LE1495  -452.779236565095  -6.33e-05  1.96316482419572  0.1  0.1  0.6  0.01  -0.0497074483356965  0  12
QF  QC1LE1505  -452.778739379272  -6.36e-05  1.9731518149479  0.1  0.1  0.6  0.01  -0.0497446587553491  0  12
QF  QC1LE1515  -452.778242193189  -6.38e-05  1.98313980568013  0.1  0.1  0.6  0.01  -0.0497819215348791  0  12
QF  QC1LE1525  -452.777744006671  -6.39e-05  1.9931267963837  0.1  0.1  0.6  0.01  -0.0498192715808718  0  12
QF  QC1LE1535  -452.777245819455  -6.4e-05  2.00311478704551  0.1  0.1  0.6  0.01  -0.0498567612532047  0  12
QF  QC1LE1545  -452.776746631978  -6.39e-05  2.01310277768725  0.1  0.1  0.6  0.01  -0.0498943032854151  0  12
QF  QC1LE1555  -452.776247445635  -6.38e-05  2.02308976837857  0.1  0.1  0.6  0.01  -0.0499316184248227  0  12
